model,dG_kcal_mol,ddG_vs_best
chimera.B99990025,60.4403,0.0000
chimera.B99990016,69.0631,8.6228
chimera.B99990038,70.0404,9.6001
chimera.B99990049,70.7264,10.2861
chimera.B99990003,73.0547,12.6144
chimera.B99990021,81.5278,21.0875
chimera.B99990022,81.5892,21.1489
chimera.B99990008,85.7866,25.3463
chimera.B99990013,86.3846,25.9443
chimera.B99990017,86.9980,26.5577
chimera.B99990015,96.2848,35.8445
chimera.B99990036,98.7375,38.2972
chimera.B99990035,100.3640,39.9237
chimera.B99990045,100.3980,39.9577
chimera.B99990023,103.9130,43.4727
chimera.B99990004,105.8390,45.3987
chimera.B99990042,107.6580,47.2177
chimera.B99990034,108.3740,47.9337
chimera.B99990010,109.1810,48.7407
chimera.B99990018,109.8050,49.3647
chimera.B99990014,113.0230,52.5827
chimera.B99990001,113.2570,52.8167
chimera.B99990037,113.3900,52.9497
chimera.B99990005,113.9240,53.4837
chimera.B99990050,113.9750,53.5347
chimera.B99990027,114.5700,54.1297
chimera.B99990030,116.3410,55.9007
chimera.B99990040,116.6390,56.1987
chimera.B99990047,119.0860,58.6457
chimera.B99990029,120.2370,59.7967
chimera.B99990033,121.0970,60.6567
chimera.B99990041,121.5300,61.0897
chimera.B99990026,121.7450,61.3047
chimera.B99990028,122.1700,61.7297
chimera.B99990011,122.4920,62.0517
chimera.B99990031,125.2420,64.8017
chimera.B99990020,125.3460,64.9057
chimera.B99990046,127.5790,67.1387
chimera.B99990012,127.9320,67.4917
chimera.B99990002,128.0690,67.6287
chimera.B99990039,129.8920,69.4517
chimera.B99990019,130.8920,70.4517
chimera.B99990043,135.3820,74.9417
chimera.B99990009,135.9560,75.5157
chimera.B99990006,136.0310,75.5907
chimera.B99990024,137.2530,76.8127
chimera.B99990007,146.1240,85.6837
chimera.B99990032,161.9570,101.5167
chimera.B99990048,182.4070,121.9667
chimera.B99990044,260.3390,199.8987
