#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
51000	101.99999999994368	-769317.6446901779	302.2210201534175	480.81913303931105	0.9850541260545583
52000	103.99999999993902	-770753.4914293406	299.0696875345347	473.161947925729	1.0009952680317689
53000	105.99999999993436	-770967.4818866514	300.8519123785429	471.8950810022099	1.0036825768144233
54000	107.9999999999297	-771533.4750244287	302.6951200409127	468.96035965992036	1.009963552633355
55000	109.99999999992504	-772217.8532172823	302.81817324411105	468.0317108823186	1.0119674797108755
56000	111.99999999992038	-771532.5424536332	299.37339541625136	468.4253365077016	1.0111171065542093
57000	113.99999999991572	-772205.6169776376	301.9440466330577	469.33678070492863	1.009153534003808
58000	115.99999999991105	-770129.8139452976	301.46079141323395	468.7850072735596	1.0103413367270093
59000	117.9999999999064	-771358.3091456909	303.20301358488643	469.13767477412483	1.0095818271563641
60000	119.99999999990173	-770989.0891692936	300.68033393660954	468.56945525321	1.010806115457105
61000	121.99999999989707	-772968.1927382685	299.3731581290204	468.05637826993836	1.0119141472594024
62000	123.99999999989241	-772773.5123584582	300.41967391337954	467.28982236130287	1.013574120859285
63000	125.99999999988775	-774060.4340030286	302.0351847036894	467.11955452639484	1.013943574609198
64000	127.99999999988309	-772270.1575485482	299.2193960033462	467.4051407226019	1.0133240514944253
65000	129.99999999989262	-772654.3107413226	300.04005389168566	467.59274383565315	1.0129174952569813
66000	131.99999999990217	-772774.8974608644	301.22459174873075	467.3833242802394	1.0133713512687552
67000	133.99999999991172	-771784.1547552412	299.5422648289644	466.10696272388054	1.0161463113927494
68000	135.99999999992127	-771846.3372795903	301.21494206800423	466.7395395197806	1.01476911806885
69000	137.99999999993082	-770664.5456787604	299.89083977127194	468.5295397330988	1.0108922292416342
70000	139.99999999994037	-771500.5453830287	300.7812205576472	468.2898315163014	1.0114096847944511
71000	141.99999999994992	-771540.9731408022	301.14387454232616	466.6392612088221	1.0149871865890796
72000	143.99999999995947	-772628.4419974298	301.9119733090038	467.7507917099658	1.0125752415188438
73000	145.99999999996902	-772388.2224232168	299.3693615333247	466.68880415481004	1.014879437153233
74000	147.99999999997857	-773043.9276615125	299.1759526661412	465.89805964072934	1.016601939170093
75000	149.99999999998812	-772754.9311304814	299.7446312891173	466.7517719929026	1.014742523341831
76000	151.99999999999767	-772648.1770440377	299.5638184191116	466.8125399046744	1.0146104279526582
77000	154.00000000000722	-773681.4970173971	300.4653517053429	464.5192017982593	1.0196195745037204
78000	156.00000000001677	-772963.6267231777	300.4582330884136	466.9918710204162	1.0142208039969125
79000	158.00000000002632	-773169.3951318641	300.88246310953144	464.79690975307756	1.0190103697934771
80000	160.00000000003587	-770952.8807015731	301.07818552721693	467.5731256100864	1.0129599947994359
81000	162.00000000004542	-771906.9236565484	300.8656750379397	466.17739115081196	1.0159927956118429
82000	164.00000000005497	-773515.166296551	298.36755461806905	464.94441336664056	1.0186870887571178
83000	166.00000000006452	-773136.2078404729	300.65763345817925	466.03634630345726	1.0163002835361372
84000	168.00000000007407	-773290.7606451097	296.49743462891917	465.8237723067531	1.0167640619561458
85000	170.00000000008362	-773561.9914137209	300.87534449260204	466.37421627715975	1.0155640135235853
86000	172.00000000009317	-772992.1964464611	300.591232581377	464.9567013637263	1.0186601666287964
87000	174.00000000010272	-773530.1673252727	302.7827976727593	465.44154082440195	1.0175990523910659
88000	176.00000000011227	-773558.402956984	299.45353917851435	465.3196481323507	1.0178656172963358
89000	178.00000000012182	-773616.0762210484	300.70050335124273	465.45436221049096	1.0175710216507963
90000	180.00000000013137	-772251.2410268211	302.3857568135244	465.6175046940909	1.0172144863787373
91000	182.00000000014091	-771925.6577004669	299.28935618861306	467.3943156889253	1.0133475204725761
92000	184.00000000015046	-772386.2051255996	298.900956539373	467.46203741609645	1.0132007157294782
93000	186.00000000016001	-774056.4178469875	299.7553289884473	467.9718565695897	1.012096911891789
94000	188.00000000016956	-772937.7342011696	298.02273672358535	466.4886012269876	1.015314992993548
95000	190.0000000001791	-772001.7166584944	302.2350398739811	466.5720314894001	1.0151334390413613
96000	192.00000000018866	-770555.9485710515	300.22321986006517	467.14618065141696	1.013885782445843
97000	194.0000000001982	-770314.3153774673	300.05788998188086	467.9965913013654	1.012043420165328
98000	196.00000000020776	-772757.3364411895	299.94264748336894	466.9905531316293	1.0142236662180346
99000	198.0000000002173	-772414.768973175	300.7776019273748	466.10879946298553	1.0161423071867173
100000	200.00000000022686	-773102.0788655374	299.9975794773405	467.07977851961937	1.0140299209430543
