#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
1000	2.0000000000000013	-882911.4659990272	274.83970872603555	547.6864179244594	0.9680710240672359
2000	3.999999999999781	-868490.9542802772	297.5989721884384	547.6864179244594	0.9680710240672359
3000	5.999999999999561	-865398.5206865272	299.85418497814464	547.6864179244594	0.9680710240672359
4000	7.999999999999341	-863046.9777177772	301.7394193319285	547.6864179244594	0.9680710240672359
5000	10.000000000000009	-864916.0519365272	300.8586244266731	547.6864179244594	0.9680710240672359
6000	12.000000000000677	-865594.0909990272	300.27850333351415	547.6864179244594	0.9680710240672359
7000	14.000000000001345	-864163.7472490272	300.10862033013876	547.6864179244594	0.9680710240672359
8000	16.00000000000201	-862711.3370927772	301.6803741981023	547.6864179244594	0.9680710240672359
9000	18.000000000000902	-864621.5206865272	300.8412186712252	547.6864179244594	0.9680710240672359
10000	19.999999999999794	-863333.8019365272	301.20100837225135	547.6864179244594	0.9680710240672359
11000	21.999999999998685	-862617.7980302772	302.7291063413883	547.6864179244594	0.9680710240672359
12000	23.999999999997577	-864257.7550615272	299.1009969019552	547.6864179244594	0.9680710240672359
13000	25.99999999999647	-866084.7433427772	301.0665029205993	547.6864179244594	0.9680710240672359
14000	27.99999999999536	-864145.4034990272	299.53454879832447	547.6864179244594	0.9680710240672359
15000	29.99999999999425	-864765.0441240272	301.8260589560989	547.6864179244594	0.9680710240672359
16000	31.999999999993143	-864037.0284990272	298.5834233202431	547.6864179244594	0.9680710240672359
17000	33.99999999999559	-864261.1808427772	300.4176786219937	547.6864179244594	0.9680710240672359
18000	35.99999999999803	-863959.0324052772	299.60618834056424	547.6864179244594	0.9680710240672359
19000	38.000000000000476	-863916.1261552772	302.13893802353994	547.6864179244594	0.9680710240672359
20000	40.00000000000292	-865545.2433427772	299.395621152707	547.6864179244594	0.9680710240672359
21000	42.000000000005365	-865529.2550615272	299.4472016231196	547.6864179244594	0.9680710240672359
22000	44.00000000000781	-863177.1495927772	298.5710765546917	547.6864179244594	0.9680710240672359
23000	46.00000000001025	-863831.5402177772	300.33549656934036	547.6864179244594	0.9680710240672359
24000	48.0000000000127	-865031.2980302772	301.7002917597225	547.6864179244594	0.9680710240672359
25000	50.00000000001514	-866262.9386552772	303.2033070446876	547.6864179244594	0.9680710240672359
26000	52.000000000017586	-862340.6261552772	298.7956178754796	547.6864179244594	0.9680710240672359
27000	54.00000000002003	-864614.6339677772	301.211409372458	547.6864179244594	0.9680710240672359
28000	56.000000000022474	-864506.5675615272	302.5182207555656	547.6864179244594	0.9680710240672359
29000	58.00000000002492	-863805.8136552772	298.8929768978221	547.6864179244594	0.9680710240672359
30000	60.00000000002736	-864311.4738115272	298.726136363895	547.6864179244594	0.9680710240672359
31000	62.00000000002981	-863956.4191240272	300.5537406859216	547.6864179244594	0.9680710240672359
32000	64.00000000003224	-865862.2863115272	301.415608601005	547.6864179244594	0.9680710240672359
33000	66.00000000002758	-866162.0909990272	300.10310143206993	547.6864179244594	0.9680710240672359
34000	68.00000000002292	-865560.0831865272	300.58367009467946	547.6864179244594	0.9680710240672359
35000	70.00000000001826	-864456.8995927772	300.32300829358206	547.6864179244594	0.9680710240672359
36000	72.0000000000136	-864898.2745927772	300.2817226907209	547.6864179244594	0.9680710240672359
37000	74.00000000000894	-865067.1144365272	299.1919172098842	547.6864179244594	0.9680710240672359
38000	76.00000000000428	-865081.6925615272	300.55098123688714	547.6864179244594	0.9680710240672359
39000	77.99999999999962	-864839.4386552772	299.87859548883375	547.6864179244594	0.9680710240672359
40000	79.99999999999496	-864208.2120927772	299.2623185378136	547.6864179244594	0.9680710240672359
41000	81.9999999999903	-864281.5284990272	301.0316914097035	547.6864179244594	0.9680710240672359
42000	83.99999999998563	-862898.9347490272	301.087128033254	547.6864179244594	0.9680710240672359
43000	85.99999999998097	-865399.7784990272	303.5330965818524	547.6864179244594	0.9680710240672359
44000	87.99999999997631	-863739.5050615272	299.74479758821616	547.6864179244594	0.9680710240672359
45000	89.99999999997165	-865027.5324052772	301.10180971721917	547.6864179244594	0.9680710240672359
46000	91.99999999996699	-863858.0792802772	300.9348276730851	547.6864179244594	0.9680710240672359
47000	93.99999999996233	-864446.0324052772	300.43455371416565	547.6864179244594	0.9680710240672359
48000	95.99999999995767	-865383.3683427772	301.4459271628319	547.6864179244594	0.9680710240672359
49000	97.999999999953	-864048.7159990272	301.4136982132119	547.6864179244594	0.9680710240672359
50000	99.99999999994834	-864571.1495927772	298.7789550486179	547.6864179244594	0.9680710240672359
