#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
21.0%	105000	210.0000000002746	-870053.2906402377	132713.875	-737339.4156402377	300.4858865417162	522.0771272269801	1.0155575178786491	0	--
22.0%	110000	220.00000000032236	-870525.8962775175	132371.21875	-738154.6775275175	299.71005683242385	521.8328371301906	1.0160329395590904	17.4	1:04:38
23.0%	115000	230.0000000003701	-870425.5976987053	133749.703125	-736675.8945737053	302.83117057811006	522.1053498701293	1.015502621453183	17.3	1:03:57
24.0%	120000	240.00000000041786	-870176.6231845971	132610.203125	-737566.4200595971	300.251156486032	522.1906739051678	1.0153366920607512	17.4	1:02:56
25.0%	125000	250.0000000004656	-869294.4670313657	133000.3125	-736294.1545313657	301.13442781990807	522.6633426461233	1.0144184759228978	17.4	1:02:04
26.0%	130000	260.00000000051335	-870824.7499983707	132763.265625	-738061.4843733707	300.59771498271357	521.5423947102681	1.0165987594592165	17.4	1:01:14
27.0%	135000	270.0000000005611	-870714.8582373345	131142.84375	-739572.0144873345	296.9288152261436	521.7776936360186	1.016140317868214	17.4	1:00:27
28.0%	140000	280.00000000060885	-869622.5343223573	133420.6875	-736201.8468223573	302.0862254714722	521.749170131764	1.016195869241056	17.3	59:51
29.0%	145000	290.0000000006566	-869476.1449472425	133252.1875	-736223.9574472425	301.70471395368793	521.0902998332082	1.0174807545593443	17.3	59:13
30.0%	150000	300.00000000070435	-868574.6807380882	133053.125	-735521.5557380882	301.2540039447329	522.9879642423638	1.0137888206202428	17.3	58:25
31.0%	155000	310.0000000007521	-871007.1948454217	132589.15625	-738418.0385954217	300.2035029238607	521.1859507628515	1.017294020861083	17.2	57:37
32.0%	160000	320.00000000079984	-868880.619827813	133135.59375	-735745.026077813	301.44072666272854	522.3756361426581	1.0149771826706193	17.2	56:48
33.0%	165000	330.0000000008476	-870486.7492435281	132918.71875	-737568.0304935281	300.9496862448089	521.5655539348153	1.0165536191335813	17.2	56:00
34.0%	170000	340.00000000089534	-869814.974690408	132758.140625	-737056.834065408	300.58611114574836	524.1876566395837	1.0114685928829443	17.2	55:13
35.0%	175000	350.0000000009431	-869117.8494785563	132280.71875	-736837.1307285563	299.5051500528424	521.9355204251628	1.015833049714557	17.2	54:24
36.0%	180000	360.00000000099084	-869930.9532450996	133113.421875	-736817.5313700996	301.39052591683316	521.12168984871	1.0174194661169695	17.2	53:38
37.0%	185000	370.0000000010386	-871735.0156628201	132378.6875	-739356.3281628201	299.7269673021476	521.562018894227	1.0165605091258998	17.2	52:51
38.0%	190000	380.00000000108633	-869509.2954520923	132982.84375	-736526.4517020923	301.0948757170814	521.3336143911439	1.0170058803652202	17.2	52:03
39.0%	195000	390.0000000011341	-870664.3086654702	131874.609375	-738789.6992904702	298.5856521060017	521.1207160808414	1.0174213672703003	17.1	51:15
40.0%	200000	400.00000000118183	-869024.5578282434	132864.71875	-736159.8390782434	300.8274214260531	523.7135600966586	1.0123842341794471	17.1	50:26
41.0%	205000	410.0000000012296	-870325.0690639308	132220.203125	-738104.8659389308	299.368132795018	520.7419615077346	1.0181613748443288	17.1	49:37
42.0%	210000	420.00000000127733	-871090.390515714	132640.25	-738450.140515714	300.31918751799594	521.6243696922959	1.0164389976269899	17.1	48:49
43.0%	215000	430.0000000013251	-870101.396258946	131674.59375	-738426.802508946	298.1327840663915	521.6707750915288	1.0163485799541339	17.1	48:00
44.0%	220000	440.0000000013728	-869459.868348321	133782.65625	-735677.212098321	302.9057818346945	522.4383495861375	1.014855344918416	17.1	47:13
45.0%	225000	450.0000000014206	-869845.4801941863	132037.015625	-737808.4645691863	298.95336637861385	522.5488509192862	1.0146407374833994	17	46:27
46.0%	230000	460.0000000014683	-870346.3219004911	132193.9375	-738152.3844004911	299.3086631305711	522.8157446143655	1.0141227706501614	17	45:38
