#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
51000	101.99999999994368	-756589.1445966223	300.5310940474239	475.8550635903185	0.9855394610332658
52000	103.99999999993902	-758805.4746227013	300.6050913461784	464.8157167383736	1.0089459672137546
53000	105.99999999993436	-758960.2330220104	298.49638820479385	463.74593929685517	1.0112734218478001
54000	107.9999999999297	-758426.4201300726	298.22442514513585	462.96201532583365	1.0129857901423902
55000	109.99999999992504	-759500.5428008661	297.9201607254597	462.2381678035681	1.0145720876516784
56000	111.99999999992038	-759085.0056791231	300.6449083691711	462.7973546728967	1.0133462046951887
57000	113.99999999991572	-759755.6558860815	300.8078943156985	461.2718075260641	1.0166976070269667
58000	115.99999999991105	-759055.2757083406	301.57433203137725	461.692463584849	1.0157712760987396
59000	117.9999999999064	-759428.5854518274	298.96633701382063	462.10234754749143	1.0148702887785164
60000	119.99999999990173	-759611.8584309691	298.7082259606556	461.3833855794409	1.0164517352781985
61000	121.99999999989707	-759403.7856345535	298.103814745167	460.66690909842924	1.018032625392133
62000	123.99999999989241	-760416.547024997	299.87463286814364	459.73854727815075	1.0200883647396541
63000	125.99999999988775	-760495.3404168556	299.0573444965946	459.0836999602455	1.0215434417326597
64000	127.99999999988309	-760957.309565709	300.82612379610475	460.39947553284196	1.0186239729269617
65000	129.99999999989262	-759601.3090959284	301.3518204350144	460.05207458433495	1.019393170489404
66000	131.99999999990217	-759948.2616620171	298.29560407027486	461.2045996883867	1.0168457626346652
67000	133.99999999991172	-759705.191990078	297.44003778756576	461.4255716286383	1.0163588057017996
68000	135.99999999992127	-759235.0371224848	300.52669658504516	460.5414913252383	1.0183098629208192
69000	137.99999999993082	-760613.4980966407	300.5734296170517	461.8427560580586	1.0154407246820558
70000	139.99999999994037	-759803.8099880507	298.88086633595077	463.63540194542435	1.011514523983561
71000	141.99999999994992	-760034.7901299335	300.42771370459343	460.7246212838031	1.0179051026054635
72000	143.99999999995947	-760996.856757395	298.64814063379015	460.05100862147714	1.0193955324780464
73000	145.99999999996902	-760636.9885983178	301.0322048739435	460.86122344707377	1.0176033891352347
74000	147.99999999997857	-761171.4386103298	299.85916179595665	459.9641272186645	1.0195880833937407
75000	149.99999999998812	-760049.0900706919	299.18750938300445	459.5959270962245	1.0204049149516614
76000	151.99999999999767	-760296.4107569531	301.8544503849012	459.9286153893725	1.0196668074321114
77000	154.00000000000722	-759549.0547533841	301.63353786576704	460.69900763935897	1.0179616954327624
78000	156.00000000001677	-759590.5217527011	299.66763232089846	461.3123806768384	1.0166081868704098
79000	158.00000000002632	-759143.110926223	299.51108266021623	461.77254932595093	1.0155951097251534
80000	160.00000000003587	-759106.636281224	301.0342836743407	461.41936637143874	1.016372473892292
81000	162.00000000004542	-760296.38291885	300.5527615438717	461.22696704665816	1.0167964503543678
82000	164.00000000005497	-759440.5799048827	299.9484702591753	460.1051882607834	1.0192754936615556
83000	166.00000000006452	-759319.971299503	299.6116446294313	462.3287713542399	1.0143732598061077
84000	168.00000000007407	-758857.2513121157	301.7146510581889	460.9918547106423	1.0173150308591046
85000	170.00000000008362	-759415.9324650047	301.45969818255037	461.8172840273807	1.0154967324110544
86000	172.00000000009317	-758794.2021773728	299.53530868022995	461.84751683369046	1.0154302574059928
87000	174.00000000010272	-759535.7798929145	299.9208861769815	461.62562427583305	1.0159183507987612
88000	176.00000000011227	-759108.0329033053	299.73615278014495	460.72843369650633	1.0178966796950026
89000	178.00000000012182	-760525.6933576795	299.4153778880832	459.7716934011378	1.0200148239478208
90000	180.00000000013137	-759034.2680944013	299.0950827191901	460.2766256665823	1.018895848168642
91000	182.00000000014091	-759868.3502209471	300.28939352431763	460.9284994081692	1.0174548623114301
92000	184.00000000015046	-759883.4343118919	301.00633979977056	462.239523471755	1.014569112088074
93000	186.00000000016001	-759368.658722627	300.0676414896384	463.10717450987465	1.0126682735958201
94000	188.00000000016956	-758567.7373457327	299.3812575777175	462.19818173296744	1.0146598611495625
95000	190.0000000001791	-760165.6382094347	301.3284539190112	461.3553223014881	1.0165135639083105
96000	192.00000000018866	-759316.6610638532	298.20687527255177	460.42712832378675	1.0185627953940972
97000	194.0000000001982	-759285.3280003536	297.22416236170176	461.3233850028923	1.01658393687936
98000	196.00000000020776	-759879.7179389615	300.9428964107249	462.00469658350016	1.015084795390155
99000	198.0000000002173	-759115.0857951874	299.837334391786	461.73422273284234	1.0156794099537634
100000	200.00000000022686	-759424.8070313255	297.1524837249287	460.694839709898	1.017970904983586
