#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
1000	2.0000000000000013	-768010.2700970029	277.1153064770698	487.1296961550353	0.9627291183485888
2000	3.999999999999781	-756933.2974407529	295.8924908226356	487.1296961550353	0.9627291183485888
3000	5.999999999999561	-753569.9888470029	299.4442412320599	487.1296961550353	0.9627291183485888
4000	7.999999999999341	-753075.9712688779	299.65903728079456	487.1296961550353	0.9627291183485888
5000	10.000000000000009	-753421.1177532529	300.0279643859032	487.1296961550353	0.9627291183485888
6000	12.000000000000677	-753785.0825970029	297.48940929699944	487.1296961550353	0.9627291183485888
7000	14.000000000001345	-752919.3169720029	300.08067396905165	487.1296961550353	0.9627291183485888
8000	16.00000000000201	-751946.7740032529	301.6464903913189	487.1296961550353	0.9627291183485888
9000	18.000000000000902	-751048.1099407529	300.221872488339	487.1296961550353	0.9627291183485888
10000	19.999999999999794	-752758.5474407529	301.5981582820838	487.1296961550353	0.9627291183485888
11000	21.999999999998685	-753079.0083782529	300.1781377261362	487.1296961550353	0.9627291183485888
12000	23.999999999997577	-753561.3521282529	302.4141274149191	487.1296961550353	0.9627291183485888
13000	25.99999999999647	-754228.7466595029	299.655039587723	487.1296961550353	0.9627291183485888
14000	27.99999999999536	-752673.9497845029	298.3368002973773	487.1296961550353	0.9627291183485888
15000	29.99999999999425	-754391.4341595029	299.69713529576654	487.1296961550353	0.9627291183485888
16000	31.999999999993143	-755046.9068157529	298.80389075585794	487.1296961550353	0.9627291183485888
17000	33.99999999999559	-754809.4966595029	300.775353094096	487.1296961550353	0.9627291183485888
18000	35.99999999999803	-752732.4849407529	299.5543376992505	487.1296961550353	0.9627291183485888
19000	38.000000000000476	-751996.9732220029	301.3656124761113	487.1296961550353	0.9627291183485888
20000	40.00000000000292	-753661.7115032529	301.71261223472237	487.1296961550353	0.9627291183485888
21000	42.000000000005365	-754248.5240032529	299.8602011961553	487.1296961550353	0.9627291183485888
22000	44.00000000000781	-752977.7818157529	301.1472185036121	487.1296961550353	0.9627291183485888
23000	46.00000000001025	-752288.0845501279	301.5549032430495	487.1296961550353	0.9627291183485888
24000	48.0000000000127	-753534.3130657529	298.697632074016	487.1296961550353	0.9627291183485888
25000	50.00000000001514	-754355.9302532529	301.39043815008563	487.1296961550353	0.9627291183485888
26000	52.000000000017586	-753926.4341595029	297.36392171148333	487.1296961550353	0.9627291183485888
27000	54.00000000002003	-752722.4185345029	299.57672478045123	487.1296961550353	0.9627291183485888
28000	56.000000000022474	-753473.9732220029	300.29311137887413	487.1296961550353	0.9627291183485888
29000	58.00000000002492	-753780.8521282529	301.31000456548594	487.1296961550353	0.9627291183485888
30000	60.00000000002736	-754558.1411907529	299.84239147352156	487.1296961550353	0.9627291183485888
31000	62.00000000002981	-753083.8599407529	300.333608009689	487.1296961550353	0.9627291183485888
32000	64.00000000003224	-753917.5474407529	301.6792115091095	487.1296961550353	0.9627291183485888
33000	66.00000000002758	-753848.7583782529	301.7257846333932	487.1296961550353	0.9627291183485888
34000	68.00000000002292	-754033.6646282529	300.3665090236679	487.1296961550353	0.9627291183485888
35000	70.00000000001826	-751987.1841595029	299.96114294621214	487.1296961550353	0.9627291183485888
36000	72.0000000000136	-752135.3091595029	301.64956861498393	487.1296961550353	0.9627291183485888
37000	74.00000000000894	-752515.9263470029	299.7741308643247	487.1296961550353	0.9627291183485888
38000	76.00000000000428	-751879.4615032529	300.23330589052364	487.1296961550353	0.9627291183485888
39000	77.99999999999962	-752934.3443157529	302.3823857319309	487.1296961550353	0.9627291183485888
40000	79.99999999999496	-753078.1763470029	302.2549592652751	487.1296961550353	0.9627291183485888
41000	81.9999999999903	-753560.9888470029	301.28551869542264	487.1296961550353	0.9627291183485888
42000	83.99999999998563	-752205.7740032529	301.0723617008473	487.1296961550353	0.9627291183485888
43000	85.99999999998097	-752622.7271282529	297.52408928439525	487.1296961550353	0.9627291183485888
44000	87.99999999997631	-753641.6372845029	300.7067526809881	487.1296961550353	0.9627291183485888
45000	89.99999999997165	-754616.3560345029	300.89710283659025	487.1296961550353	0.9627291183485888
46000	91.99999999996699	-754213.0396282529	298.98864414115997	487.1296961550353	0.9627291183485888
47000	93.99999999996233	-754981.6060345029	301.49441814687685	487.1296961550353	0.9627291183485888
48000	95.99999999995767	-756049.4419720029	300.0401773382368	487.1296961550353	0.9627291183485888
49000	97.999999999953	-754329.9341595029	298.3254868259848	487.1296961550353	0.9627291183485888
50000	99.99999999994834	-754327.3365032529	299.099600112361	487.1296961550353	0.9627291183485888
