#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
21.0%	105000	210.0000000002746	-759111.1873929496	117992.375	-641118.8123929496	301.88627202175076	463.4084865393421	1.0120098283114596	0	--
22.0%	110000	220.00000000032236	-760356.8763224864	116667.4765625	-643689.3997599864	298.4964881471206	462.77585075554987	1.0133932920982887	27.9	40:16
23.0%	115000	230.0000000003701	-758916.4244238166	117075.859375	-641840.5650488166	299.54134519676796	460.2751616911418	1.018899088922483	28.2	39:23
24.0%	120000	240.00000000041786	-760400.896233052	117050.8046875	-643350.091545552	299.47724218836555	461.8579225662065	1.0154073796006529	28.3	38:37
25.0%	125000	250.0000000004656	-759894.4048604323	117253.390625	-642641.0142354323	299.9955630835582	462.5920290076539	1.0137959875936242	28.3	38:12
26.0%	130000	260.00000000051335	-759762.0566101484	116890.484375	-642871.5722351484	299.0670588907585	461.0190084208881	1.0172551116864195	28.5	37:25
27.0%	135000	270.0000000005611	-760020.2912630495	117449.703125	-642570.5881380495	300.4978332410685	460.99368899802477	1.0173109829769542	28.6	36:46
28.0%	140000	280.00000000060885	-758107.1337108524	117644.109375	-640463.0243358524	300.9952262130316	460.29960306187337	1.0188449865721771	28.6	36:13
29.0%	145000	290.0000000006566	-759403.1155750155	117211.109375	-642192.0062000155	299.88738550904185	461.07440404924677	1.0171328939150188	29	35:16
30.0%	150000	300.00000000070435	-760960.3961889725	116721.140625	-644239.2555639725	298.6337889156632	460.90042119376295	1.0175168460164976	29.5	34:11
31.0%	155000	310.0000000007521	-759518.331146243	116590.21875	-642928.112396243	298.2988222131975	462.77171781294743	1.0134023425569676	29.7	33:29
32.0%	160000	320.00000000079984	-760110.9670183794	117527.28125	-642583.6857683794	300.6963187020713	461.3532891119565	1.0165180436958956	29.9	32:46
33.0%	165000	330.0000000008476	-759778.2388107115	118230.71875	-641547.5200607115	302.49608012288604	461.70926324288416	1.0157343164545676	30	32:08
34.0%	170000	340.00000000089534	-759812.1163674383	117054.625	-642757.4913674383	299.4870165479255	460.50253416241196	1.0183960089465072	30.1	31:32
35.0%	175000	350.0000000009431	-759025.7239769562	118340.5703125	-640685.1536644562	302.77713793428177	460.7629595411672	1.017820406761347	30.2	31:00
36.0%	180000	360.00000000099084	-758537.5552818789	116224.984375	-642312.5709068789	297.3643614577212	461.30430645092946	1.0166259806001603	30.3	30:27
37.0%	185000	370.0000000010386	-757562.0751855443	116410.3515625	-641151.7236230443	297.8386277752653	459.872435689208	1.0197913736619257	30.3	29:57
38.0%	190000	380.00000000108633	-758981.1492518783	117950.015625	-641031.1336268783	301.7778945625809	459.7563580319542	1.0200488469768114	30.3	29:27
39.0%	195000	390.0000000011341	-757487.0474006613	117301.6953125	-640185.3520881613	300.11915176486536	461.09262136736726	1.017092707990021	30.4	28:55
40.0%	200000	400.00000000118183	-759795.438084234	117151.03125	-642644.406834234	299.73367421044054	461.2244739553762	1.0168019465205709	30.4	28:24
41.0%	205000	410.0000000012296	-758358.906336816	117422.140625	-640936.765711816	300.4273139352863	460.8977005252629	1.0175228523949804	30.5	27:54
42.0%	210000	420.00000000127733	-760293.4002236072	117564.96875	-642728.4314736072	300.7927430589573	459.5807531435007	1.020438605605225	30.5	27:22
43.0%	215000	430.0000000013251	-758811.164739647	116788.65625	-642022.508489647	298.8065292332852	461.9224815206365	1.0152654647959616	30.5	26:53
44.0%	220000	440.0000000013728	-759944.0134549993	117690.09375	-642253.9197049993	301.1128783201275	460.2805943430192	1.018887062945033	30.5	26:24
45.0%	225000	450.0000000014206	-760409.169605155	116287.9296875	-644121.239917655	297.5254085231088	460.9728526991291	1.017356966152725	30.5	25:59
46.0%	230000	460.0000000014683	-759315.4769099681	117201.9921875	-642113.4847224681	299.8640589699694	461.7478199080948	1.0156495010503708	30.4	25:35
