#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
51000	101.99999999994368	-816713.2800153019	301.4496291535387	504.74288849155505	0.9986254433588434
52000	103.99999999993902	-818297.7373269871	302.0933660253849	500.58132308673237	1.0069274812212066
53000	105.99999999993436	-817935.015836087	302.01873525818127	500.61954920085356	1.0068505946416266
54000	107.9999999999297	-818254.262981026	299.5442751597383	497.7531072085207	1.0126488082191805
55000	109.99999999992504	-818965.8164230534	300.32127594390903	497.27578336329833	1.0136208270448908
56000	111.99999999992038	-818919.2062358432	300.5102897090026	496.6889065025705	1.014818499473561
57000	113.99999999991572	-817237.615910999	299.18717475146127	497.04884919054535	1.014083608930907
58000	115.99999999991105	-817824.6429706179	299.0663927047383	495.8382617719594	1.0165594905903395
59000	117.9999999999064	-818520.1492287	298.84569992754405	496.7745798225101	1.0146434847414927
60000	119.99999999990173	-820454.5806183582	301.7937640471743	496.51095418889264	1.015182216121544
61000	121.99999999989707	-819254.6747612953	298.8008507800546	495.22436122951177	1.0178196596602824
62000	123.99999999989241	-818622.7632878241	300.4029196221883	496.0633721711934	1.016098182367218
63000	125.99999999988775	-819162.0362723498	301.4253350902366	495.44366879535676	1.017369122967439
64000	127.99999999988309	-820134.9260532032	299.9052261584466	497.22756185063486	1.0137191287749183
65000	129.99999999989262	-818510.3856649627	302.51086675796637	496.4231672759088	1.015361739799616
66000	131.99999999990217	-818031.4437000118	301.00377914647606	497.3453386537333	1.0134790690237805
67000	133.99999999991172	-816918.4321336895	301.89317252671964	495.2531937575634	1.017760404486851
68000	135.99999999992127	-818894.7770955162	301.5403691541416	495.076527707834	1.0181235881567863
69000	137.99999999993082	-816771.0702156029	300.1556819534688	497.02659208157695	1.0141290201216695
70000	139.99999999994037	-818194.7577139549	300.36231170473934	496.1751851843168	1.0158692047746416
71000	141.99999999994992	-817864.5706289262	301.06230068028026	495.41057611678866	1.0174370816889409
72000	143.99999999995947	-818232.8526041345	298.74919334223694	494.95746102445804	1.0183685073841025
73000	145.99999999996902	-819525.6084597018	299.465514773811	494.73710096227416	1.018822097274929
74000	147.99999999997857	-819298.3010831899	300.69322065732763	496.6289207584749	1.014941075184053
75000	149.99999999998812	-820348.5615525348	298.8929859221182	496.23405077955516	1.0157486976362673
76000	151.99999999999767	-819032.6715842881	299.69000233577833	496.1815741751837	1.0158561241214916
77000	154.00000000000722	-817578.8065268318	302.06877433190454	496.3444021917288	1.0155228679448218
78000	156.00000000001677	-818094.7965237196	299.2043070885985	495.74718483928433	1.0167462493317223
79000	158.00000000002632	-818335.009047599	298.8850987223938	494.8215450040563	1.0186482296318977
80000	160.00000000003587	-818381.8184972284	301.01988837987545	494.5844151570519	1.0191366233043253
81000	162.00000000004542	-817308.6408306956	300.764558890684	496.2804337488456	1.0156537645350499
82000	164.00000000005497	-819010.9625186408	301.2844816083659	496.17546425766926	1.0158686334001077
83000	166.00000000006452	-818234.8623449607	301.45325652133647	496.3604287817965	1.0154900785285725
84000	168.00000000007407	-819013.7701270757	300.8810439017081	495.85021556736734	1.0165349837054194
85000	170.00000000008362	-817283.5761199882	302.70004794003523	495.34498218701253	1.017571811420518
86000	172.00000000009317	-819224.1527880882	301.22495557271003	495.79841011547643	1.0166412003715468
87000	174.00000000010272	-818287.143091456	300.5926402589553	497.24547846397985	1.0136826027239894
88000	176.00000000011227	-819769.1115869405	301.40111543447915	497.3015724829545	1.013568262584529
89000	178.00000000012182	-820178.9056036477	300.0407595008806	497.06351018643744	1.0140536983152209
90000	180.00000000013137	-819524.003203847	301.42868342974225	496.4094010162835	1.0153898974720834
91000	182.00000000014091	-819119.4601265676	301.137210475776	497.67306810770515	1.0128116691518807
92000	184.00000000015046	-817384.3748420267	301.3696410431261	496.7501610092369	1.0146933617052816
93000	186.00000000016001	-817222.9474067171	300.0713223998127	497.39554405531146	1.013376771919877
94000	188.00000000016956	-817646.6086023445	299.4549116987098	496.44224629688733	1.0153227179232969
95000	190.0000000001791	-817902.8808142059	302.1876031805826	497.4521554646723	1.0132614468848125
96000	192.00000000018866	-818785.7496364419	304.31219900445814	496.46474191682853	1.0152767120097814
97000	194.0000000001982	-819484.0481178653	299.8119935051006	496.84667898749854	1.014496246265108
98000	196.00000000020776	-818986.119293767	300.78736480309465	495.9659371706459	1.0162977999609586
99000	198.0000000002173	-817890.2165321968	298.9796707115421	496.80980613619744	1.0145715414158318
100000	200.00000000022686	-817567.9197507785	299.2511652397914	496.351268574509	1.0155088194892723
