#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
1000	2.0000000000000013	-829535.247848718	274.8552938148735	524.9418846033129	0.9601997965603396
2000	3.999999999999781	-815714.806442468	293.505991306577	524.9418846033129	0.9601997965603396
3000	5.999999999999561	-811281.919723718	299.42299086208936	524.9418846033129	0.9601997965603396
4000	7.999999999999341	-812041.931442468	302.676125914456	524.9418846033129	0.9601997965603396
5000	10.000000000000009	-811321.505661218	302.2089953496464	524.9418846033129	0.9601997965603396
6000	12.000000000000677	-811881.943161218	299.47745718471447	524.9418846033129	0.9601997965603396
7000	14.000000000001345	-811948.993942468	300.20469792345415	524.9418846033129	0.9601997965603396
8000	16.00000000000201	-811549.517379968	300.0216739656985	524.9418846033129	0.9601997965603396
9000	18.000000000000902	-812106.056442468	301.39140524991274	524.9418846033129	0.9601997965603396
10000	19.999999999999794	-810323.478317468	300.4955198114055	524.9418846033129	0.9601997965603396
11000	21.999999999998685	-811362.314254968	300.21963523802657	524.9418846033129	0.9601997965603396
12000	23.999999999997577	-812186.349411218	301.7414183395694	524.9418846033129	0.9601997965603396
13000	25.99999999999647	-812283.075973718	298.9151035647416	524.9418846033129	0.9601997965603396
14000	27.99999999999536	-813822.736129968	301.41326246613016	524.9418846033129	0.9601997965603396
15000	29.99999999999425	-811486.868942468	300.591951989168	524.9418846033129	0.9601997965603396
16000	31.999999999993143	-810530.943161218	299.77789624780144	524.9418846033129	0.9601997965603396
17000	33.99999999999559	-811777.595504968	301.8739567783345	524.9418846033129	0.9601997965603396
18000	35.99999999999803	-813482.341598718	300.70581413424605	524.9418846033129	0.9601997965603396
19000	38.000000000000476	-811907.283004968	299.82103402176585	524.9418846033129	0.9601997965603396
20000	40.00000000000292	-812153.517379968	298.30855186329427	524.9418846033129	0.9601997965603396
21000	42.000000000005365	-812024.439254968	299.65986728022756	524.9418846033129	0.9601997965603396
22000	44.00000000000781	-810357.521286218	300.90902113846636	524.9418846033129	0.9601997965603396
23000	46.00000000001025	-810998.845504968	303.1533945072133	524.9418846033129	0.9601997965603396
24000	48.0000000000127	-811637.243942468	301.8374784796091	524.9418846033129	0.9601997965603396
25000	50.00000000001514	-811351.935348718	300.1459345651301	524.9418846033129	0.9601997965603396
26000	52.000000000017586	-811304.751754968	301.3002560078147	524.9418846033129	0.9601997965603396
27000	54.00000000002003	-812241.017379968	298.855093880046	524.9418846033129	0.9601997965603396
28000	56.000000000022474	-813651.283004968	300.64457672506506	524.9418846033129	0.9601997965603396
29000	58.00000000002492	-812482.450973718	300.26364730063966	524.9418846033129	0.9601997965603396
30000	60.00000000002736	-812393.208786218	300.7121015717622	524.9418846033129	0.9601997965603396
31000	62.00000000002981	-811319.849411218	300.3361946565953	524.9418846033129	0.9601997965603396
32000	64.00000000003224	-810087.857223718	302.77929197500214	524.9418846033129	0.9601997965603396
33000	66.00000000002758	-811405.486129968	301.9528473774647	524.9418846033129	0.9601997965603396
34000	68.00000000002292	-811688.275192468	301.72315128737756	524.9418846033129	0.9601997965603396
35000	70.00000000001826	-813529.486129968	302.5891434948539	524.9418846033129	0.9601997965603396
36000	72.0000000000136	-812325.107223718	298.24459857873643	524.9418846033129	0.9601997965603396
37000	74.00000000000894	-813751.923629968	299.6841799454157	524.9418846033129	0.9601997965603396
38000	76.00000000000428	-812845.513473718	299.03573679637555	524.9418846033129	0.9601997965603396
39000	77.99999999999962	-812616.212692468	298.43078485713636	524.9418846033129	0.9601997965603396
40000	79.99999999999496	-814163.474411218	300.89648346720634	524.9418846033129	0.9601997965603396
41000	81.9999999999903	-812524.861129968	298.9392116091822	524.9418846033129	0.9601997965603396
42000	83.99999999998563	-813236.107223718	300.6803295502309	524.9418846033129	0.9601997965603396
43000	85.99999999998097	-812283.154098718	299.9832424689281	524.9418846033129	0.9601997965603396
44000	87.99999999997631	-813199.505661218	301.7247696514719	524.9418846033129	0.9601997965603396
45000	89.99999999997165	-811238.169723718	299.7595361861788	524.9418846033129	0.9601997965603396
46000	91.99999999996699	-811770.052536218	299.83595273445206	524.9418846033129	0.9601997965603396
47000	93.99999999996233	-812665.763473718	301.14946911874387	524.9418846033129	0.9601997965603396
48000	95.99999999995767	-812855.161911218	300.2402461278724	524.9418846033129	0.9601997965603396
49000	97.999999999953	-812360.083786218	302.22977365646756	524.9418846033129	0.9601997965603396
50000	99.99999999994834	-811591.509567468	300.6558494680674	524.9418846033129	0.9601997965603396
