#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
21.0%	105000	210.0000000002746	-817294.6389524764	126432.453125	-690862.1858274764	301.04090851121646	496.89172390372244	1.0144042787473893	0	--
22.0%	110000	220.00000000032236	-819218.6252265326	125938.328125	-693280.2971015326	299.8643764164778	494.5374644670945	1.0192333786991399	24.9	45:03
23.0%	115000	230.0000000003701	-817898.9261773434	126328.015625	-691570.9105523434	300.79223849726395	495.58487700773986	1.0170792414923313	26.1	42:27
24.0%	120000	240.00000000041786	-819233.3385858894	126283.4609375	-692949.8776483894	300.6861519405935	495.1531930069118	1.0179659505802003	26.6	41:06
25.0%	125000	250.0000000004656	-816838.6680260375	126295.34375	-690543.3242760375	300.71444540941616	497.0506467431551	1.014079941560892	26.1	41:20
26.0%	130000	260.00000000051335	-818074.6259187455	126006.1875	-692068.4384187455	300.02595239951125	495.51692816453726	1.017218710709177	25.9	41:05
27.0%	135000	270.0000000005611	-818472.1677875272	125960.6875	-692511.4802875272	299.9176150146175	495.72272689521066	1.0167964135093042	25.8	40:45
28.0%	140000	280.00000000060885	-817647.0047644479	126549.34375	-691097.6610144479	301.31922993168	495.65809566265375	1.0169289984626009	25.7	40:22
29.0%	145000	290.0000000006566	-817747.478134993	125828.0625	-691919.415634993	299.601829395463	496.3944141458497	1.0154205535721514	25.6	39:59
30.0%	150000	300.00000000070435	-818428.9609823157	126350.46875	-692078.4922323157	300.8457003180374	497.21480706621065	1.0137451331673266	25.4	39:37
31.0%	155000	310.0000000007521	-819925.354091072	126519.453125	-693405.900966072	301.24805911529893	495.77566283244045	1.016687846116517	25.4	39:07
32.0%	160000	320.00000000079984	-819213.6551146288	125831.453125	-693382.2019896288	299.60990261404885	496.46827000587245	1.0152694970740836	25.3	38:38
33.0%	165000	330.0000000008476	-818819.0965055064	126065.390625	-692753.7058805064	300.1669174926989	494.79847065635306	1.0186957331001416	25.3	38:07
34.0%	170000	340.00000000089534	-818649.3498597792	126021.1015625	-692628.2482972792	300.0614634001572	496.09461504460523	1.0160341908907478	25.3	37:34
35.0%	175000	350.0000000009431	-817727.771995503	126587.3359375	-691140.436058003	301.40969090399085	497.35663145712056	1.013456057327264	25.3	37:04
36.0%	180000	360.00000000099084	-817981.174936363	125600.1953125	-692380.979623863	299.05926818234576	496.15079984019036	1.0159191337884694	25.3	36:28
37.0%	185000	370.0000000010386	-818985.9497102406	126266.03125	-692719.9184602406	300.6446511326096	496.5205206508796	1.015162656603505	25.3	35:53
38.0%	190000	380.00000000108633	-816804.3709143023	126168.03125	-690636.3396643023	300.41130907283855	496.6731299251599	1.0148507346835007	25.3	35:17
39.0%	195000	390.0000000011341	-818910.6336524412	126486.046875	-692424.5867774412	301.1685174501538	494.86639625395713	1.0185559064378922	25.3	34:41
40.0%	200000	400.00000000118183	-819432.8499973761	126860.921875	-692571.9281223761	302.0611103548138	496.23265906416765	1.0157515463667295	25.3	34:08
